"","X","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"86",86,"2/1 Pegler Avenue Granville 2142",3,2,1,565000,"2014-11-24",-33.8513337885269,151.01025663829,2091.65597976355
"87",87,"Unit 1/104-110 Elizabeth Street Granville 2142",4,4,3,720000,"2014-11-08",-33.8375569991011,151.001992333216,1077.41268283089
"88",88,"7/151-155 Blaxcelell Street Granville 2142",3,2,1,517000,"2014-10-09",-33.845508533458,151.010116409049,1447.48712720696
"89",89,"1/166-168 The Trongate Granville 2142",3,2,2,597000,"2014-09-27",-33.8451853691811,151.01104260935,1403.79079352384
"90",90,"7/151-155 Blaxcell Street Granville 2142",3,2,1,517000,"2014-09-10",-33.845508533458,151.010116409049,1447.48712720696
"91",91,"Unit 7/40 Elizabeth Street Granville 2142",3,2,2,530000,"2014-08-30",-33.8382643898196,151.007082495376,777.404683972067
"92",92,"8/151-155 BLAXCELL STREET Granville 2142",3,2,2,510000,"2014-06-28",-33.845508533458,151.010116409049,1447.48712720696
"93",93,"Unit 10/110 Elizabeth Street Granville 2142",3,2,2,495000,"2014-06-27",-33.8375569991011,151.001992333216,1077.41268283089
"94",94,"1/1 Pegler Avenue Granville 2142",3,1,1,515000,"2014-06-13",-33.8513337885269,151.01025663829,2091.65597976355
"95",95,"19/162 William Street Granville 2142",3,2,2,502000,"2014-05-26",-33.8349576032883,151.001456645784,1009.63267768776
"96",96,"6/151 Blaxcell Street Granville 2142",3,2,1,503000,"2014-05-17",-33.845508533458,151.010116409049,1447.48712720696
"97",97,"Unit 5/104 Elizabeth Street Granville 2142",3,2,2,518000,"2014-05-02",-33.8375569991011,151.001992333216,1077.41268283089
"98",98,"6/143-145 Blaxcell Street Granville 2142",2,2,1,424000,"2014-04-09",-33.8450683159032,151.01027390501,1397.11246145855
"99",99,"5/335-339 BLAXCELL STREET Granville 2142",3,2,1,392000,"2014-03-15",-33.8560227508918,151.008054963782,2632.79689645462
"100",100,"14/39-47 Wellington Road Granville 2142",3,2,2,441000,"2014-03-14",-33.8647576160099,151.0245913691,3764.28945963307
"101",101,"6/335-339 Blaxcell St Granville 2142",3,3,1,460000,"2014-02-25",-33.8560227508918,151.008054963782,2632.79689645462
"102",102,"1/149 Blaxcell Street Granville 2142",3,1,2,412000,"2013-12-08",-33.845268391932,151.01016393444,1420.42066811648
"103",103,"6/23 Elizabeth Street Granville 2142",3,2,2,869800,"2013-12-01",-33.8374863396573,151.008836995349,617.589296214132
"104",104,"4/104-110 Elizabeth Street Granville 2142",3,2,2,485000,"2013-11-22",-33.8375569991011,151.001992333216,1077.41268283089
"105",105,"5/9 Gray Street Granville 2142",2,1,2,475000,"2013-11-11",-33.8295241183739,151.01431314415,403.725692797222
"106",106,"10/39 Wellington Road Granville 2142",2,2,1,370000,"2013-10-04",-33.8647576160099,151.0245913691,3764.28945963307
"107",107,"8/117 John Street Granville 2142",4,2,2,525000,"2013-09-28",-33.8383539676057,151.001081131521,1195.67003292185
"108",108,"16/104-110 Elizabeth Street Granville 2142",2,1,2,460200,"2013-09-20",-33.8375569991011,151.001992333216,1077.41268283089
"109",109,"16/104 Elizabeth Street Granville 2142",2,1,2,460200,"2013-09-20",-33.8375569991011,151.001992333216,1077.41268283089
"110",110,"1/92 Clyde Street Granville 2142",3,2,1,480150,"2013-09-18",-33.8422258029888,151.013233387383,1077.59128540409
"111",111,"2/40-42 Elizabeth Street Granville 2142",3,1,2,310000,"2013-08-27",-33.8382643898196,151.007082495376,777.404683972067
"112",112,"7/143-145 Blaxcell Street Granville 2142",2,2,1,410000,"2013-08-27",-33.8450683159032,151.01027390501,1397.11246145855
"113",113,"7/143 Blaxcell Street Granville 2142",2,2,1,412000,"2013-08-27",-33.8450683159032,151.01027390501,1397.11246145855
"114",114,"4/317 Blaxcell Street Granville 2142",2,1,1,340000,"2013-08-09",-33.8362561696378,151.011013607965,417.09773619893
"115",115,"4/317 BLAXCELL ST Granville 2142",2,1,1,340000,"2013-08-09",-33.8362561696378,151.011013607965,417.09773619893
"116",116,"2 Granville 2142",3,2,2,548000,"2013-08-01",-33.838421497174,151.015144777405,710.295947840684
"117",117,"2/40 Elizabeth Street Granville 2142",3,2,2,675000,"2013-08-01",-33.8382643898196,151.007082495376,777.404683972067
"118",118,"T2/25-27 Dixmude Street Granville 2142",5,2,2,595000,"2013-07-08",-33.8547335303643,151.013563885825,2468.13238857358
"119",119,"3/63 Victoria Street Granville 2142",4,3,2,570000,"2013-07-01",-33.8278436306062,151.008964567915,599.277824058061
"120",120,"63-65 Victoria Street Granville 2142",3,2,2,488000,"2013-07-01",-33.8278436306062,151.008964567915,599.277824058061
"121",121,"14/335 Blaxcell Street Granville 2142",3,2,2,425000,"2013-05-06",-33.8369180047125,151.010833816142,492.62514833426
"122",122,"15/39-47 Wellington Road Granville 2142",3,2,1,365000,"2013-04-20",-33.8647576160099,151.0245913691,3764.28945963307
"123",123,"15/39-47 Wellington Rd Granville 2142",3,2,1,365000,"2013-04-20",-33.8647576160099,151.0245913691,3764.28945963307
"124",124,"11/23 Elizabeth Street Granville 2142",3,2,1,487000,"2013-04-11",-33.8378594600772,151.008718726695,659.427018642967
"125",125,"1/18-22 HIGH STREET Granville 2142",3,1,1,415000,"2013-04-05",-33.8256626594,151.005703923761,967.143256937522
"126",126,"39 Wellington Road Granville 2142",3,1,2,365000,"2013-04-01",-33.8647576160099,151.0245913691,3764.28945963307
"127",127,"2/23-25 John Street Granville 2142",3,2,2,466000,"2013-03-16",-33.8391162845488,151.008751835212,785.109472542868
