"","X","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"131",131,"12/35 Victoria Road Parramatta 2150",3,1,1,725000,"2013-05-04",-33.8097467663743,151.010545311035,1003.9768773121
"132",132,"2/3 Teale Place Parramatta 2150",3,2,2,605000,"2013-04-15",-33.8058684024378,151.015685757652,1628.92627873468
"133",133,"3/28 Broughton Street Parramatta 2150",3,3,1,530000,"2013-04-09",-33.8133757951732,151.019305321863,1400.46265700496
"134",134,"1/9 New Zealand Street Parramatta 2150",2,1,1,495000,"2013-04-08",-33.8138639153046,151.014654622886,980.392407911776
"135",135,"12/19 King Street Parramatta 2150",2,1,1,468000,"2013-04-06",-33.820334660737,150.998616270255,669.432451608952
"136",136,"3/6 Glebe Street Parramatta 2150",2,2,1,445000,"2013-04-05",-33.8202504226101,150.99662565207,832.819266501264
"137",137,"10/66 Marsden Street Parramatta 2150",3,1,1,535500,"2013-02-01",-33.8218246278455,150.999058918561,730.519223591541
"138",138,"5/12 Glebe Street Parramatta 2150",3,1,1,695000,"2013-02-01",-33.8205409812837,150.996941733638,818.542670895595
"139",139,"4/28 Broughton Street Parramatta 2150",3,2,2,530000,"2013-01-01",-33.8133757951732,151.019305321863,1400.46265700496
"140",140,"2/8-10 Grandview Street Parramatta 2150",3,2,2,568000,"2012-12-17",-33.8101363991434,151.019607321834,1580.2553074409
"141",141,"2/145-147 Pennant Street Parramatta 2150",3,2,1,515000,"2012-12-04",-33.8063704100467,151.021512863702,1966.63045403046
"142",142,"8/1-9 King Street Parramatta 2150",2,1,1,450000,"2012-12-01",-33.8197845564316,150.996571672613,819.928081183316
"143",143,"1/68 Hassall Street Parramatta 2150",3,2,2,672000,"2012-10-16",-33.818232269873,151.016050712679,1025.27582396538
"144",144,"4/68 Hassall Street Parramatta 2150",3,2,2,625000,"2012-10-16",-33.818232269873,151.016050712679,1025.27582396538
"145",145,"5/36 Morton Street Parramatta 2150",3,2,2,525000,"2012-10-09",-33.8099719042936,151.0184537205,1500.21657217248
"146",146,"3/6 Glebe Street Parramatta 2150",2,2,1,445000,"2012-10-01",-33.8202504226101,150.99662565207,832.819266501264
"147",147,"7/64-66 Hassall Street Parramatta 2150",2,1,1,390500,"2012-10-01",-33.8181919948283,151.015728009406,995.170927495807
"148",148,"9/74-76 Pemberton Street Parramatta 2150",3,2,1,527000,"2012-09-21",-33.8076615584119,151.021273057452,1861.41183900898
"149",149,"4/1 Bobart Street Parramatta 2150",3,2,1,429000,"2012-09-11",-33.8203053659854,150.997130410279,791.984278028384
"150",150,"7/64 Hassall Street Parramatta 2150",3,1,1,393000,"2012-09-01",-33.8181919948283,151.015728009406,995.170927495807
"151",151,"7/148-152 Pennant Street Parramatta 2150",3,2,2,518000,"2012-08-29",-33.8082921169334,151.01847362703,1613.58029164038
"152",152,"4/11 Tennyson Street Parramatta 2150",2,1,1,462000,"2012-08-22",-33.8121977605914,151.021100893161,1601.86042115702
"153",153,"4/11-13 Tennyson Street Parramatta 2150",2,1,1,462000,"2012-08-22",-33.8121977605914,151.021100893161,1601.86042115702
"154",154,"8F/50-56 Victoria Road (Cnr of Brickfield St) Parramatta 2150",2,1,1,392000,"2012-08-08",-33.8090297862833,151.009494765582,1030.47834569274
"155",155,"2/4 Broughton Street Parramatta 2150",3,2,2,515000,"2012-06-28",-33.8130468892926,151.017447305386,1253.42167205437
