"","X","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"90",90,"49/100 Kenyons Road Merrylands 2160",3,2,2,650000,"2018-03-10",-33.8376072067011,150.969893918824,2104.55032327311
"91",91,"6/59-61 Lavinia Street Merrylands 2160",3,2,2,620000,"2018-02-27",-33.8484638667891,151.003853953911,1707.69437954345
"92",92,"8/23 Todd Street Merrylands 2160",3,1,2,580000,"2018-02-19",-33.8341554551544,150.969738015425,2127.40880330739
"93",93,"5/35 Lansdowne Street Merrylands 2160",3,2,2,7e+05,"2017-11-21",-33.8455509458881,150.994327082762,1042.11792315145
"94",94,"1/49 Edna Avenue Merrylands 2160",2,1,1,6e+05,"2017-11-14",-33.8411161228275,150.971671049936,2008.04517468791
"95",95,"13/58-60 St Ann Street Merrylands 2160",2,2,1,585000,"2017-09-15",-33.8396576716749,150.983845931936,891.565951492629
"96",96,"7/21 St Ann Street Merrylands 2160",2,2,1,605000,"2017-09-06",-33.8397168479113,150.987621308764,597.156095735195
"97",97,"3/10-12 Rickard Street Merrylands 2160",3,2,2,660000,"2017-08-03",-33.8260695588896,150.990302428133,1158.49574563278
"98",98,"4/1-3 Holdsworth Street Merrylands 2160",3,2,2,649995,"2017-07-14",-33.8348889974108,150.97794515592,1364.15191949165
"99",99,"5/117-119 John Street Merrylands 2160",3,2,2,660000,"2017-06-03",-33.8380878250292,151.001559743193,852.028482903808
"100",100,"28/10-14 Arthur Street Merrylands 2160",2,1,2,605000,"2017-06-02",-33.833786022772,150.969996345681,2108.74176833053
"101",101,"3/58 Lansdowne Street Merrylands 2160",3,2,2,751000,"2017-05-20",-33.8459405786572,150.991469189055,1078.26542648073
"102",102,"5/158 Railway Terrace Merrylands 2160",3,2,2,680000,"2017-03-15",-33.843564392926,150.991828353606,811.809869752728
"103",103,"3/11-13 Torrens Street Merrylands 2160",3,1,1,530000,"2017-03-03",-33.8361963228491,150.969605413717,2126.23888461857
"104",104,"7/11-11A Ellis Street Merrylands 2160",2,1,1,6e+05,"2017-02-01",-33.8279302575756,150.977246691928,1698.14650832227
"105",105,"9 - 11 Kimberley Street Merrylands 2160",3,3,2,655000,"2016-12-23",-33.8478275965191,151.000340008643,1469.30428610162
"106",106,"1/11-11A Ellis Street Merrylands 2160",3,2,1,623000,"2016-12-17",-33.8279302575756,150.977246691928,1698.14650832227
"107",107,"1/11-11A Ellis Street Merrylands 2160",3,2,1,623000,"2016-12-17",-33.8279302575756,150.977246691928,1698.14650832227
