"address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"3/124-126 Auburn Road Auburn 2144",3,2,1,835000,2017-05-04,-33.8583249663274,151.031805840801,1042.96714260109
"8/124-126 Auburn Road Auburn 2144",3,3,2,840000,2017-05-04,-33.8583249663274,151.031805840801,1042.96714260109
"1/124-126 Auburn Road Auburn 2144",3,2,2,750000,2017-05-04,-33.8583249663274,151.031805840801,1042.96714260109
"11/124-126 Auburn Road Auburn 2144",3,3,2,820000,2017-05-04,-33.8583249663274,151.031805840801,1042.96714260109
"2/64 Harrow Road Auburn 2144",3,2,1,650000,2017-04-26,-33.8574419747374,151.03055500939,964.437100430219
"4 /14 QUEEN STREET Auburn 2144",3,1,1,7e+05,2017-04-14,-33.8562649040745,151.03589453317,854.795975218101
"4/20-24 Helena Street Auburn 2144",3,1,1,620000,2017-03-31,-33.8578951842421,151.034867666212,1006.77703478869
"8/17 Kirkham Rd Auburn 2144",3,3,2,638000,2017-03-24,-33.8720158412457,151.020772993109,2796.62026797535
"11/58-60 Helena Street Auburn 2144",3,1,1,738000,2017-03-18,-33.8579273288408,151.030857847552,1011.55917592596
"24 Castle St Auburn 2144",3,2,2,772000,2017-02-21,-33.874632671417,151.019963301262,3093.86793385764
"11/277 Park rd Auburn 2144",3,1,1,570000,2017-02-08,-33.8706394489252,151.025656876632,2500.21326241141
"16/17-21 Kirkham Rd Auburn 2144",3,2,2,680000,2017-02-04,-33.8720158412457,151.020772993109,2796.62026797535
"16/17-21 KIRKHAM ROAD Auburn 2144",3,1,1,680000,2017-02-03,-33.8720158412457,151.020772993109,2796.62026797535
"1/9a-11 Louisa St Auburn 2144",3,1,1,730000,2017-01-06,-33.8563190930785,151.035322635917,844.980192905433
"1/17 Kirkham Rd Auburn 2144",3,3,1,670000,2017-01-03,-33.8720158412457,151.020772993109,2796.62026797535
"3/17 Kirkham Street Auburn 2144",3,3,2,670000,2017-01-03,-33.8720158412457,151.020772993109,2796.62026797535
"3/24-28 Norval Street Auburn 2144",4,3,2,745000,2016-12-19,-33.8599075115565,151.034442368445,1222.5618752164
"1/7 Kennington Oval Auburn 2144",3,3,2,710000,2016-12-13,-33.8724478026258,151.021767170644,2805.74323397359
"10/58-60 Helena Street Auburn 2144",3,2,2,698000,2016-11-23,-33.857852604174,151.030857847552,1003.3882364962
"3/33 Macquarie Road Auburn 2144",2,1,NA,506000,2016-11-14,-33.8456274726641,151.034940672589,420.168582028118
"8/35 Elsham Road Auburn 2144",2,2,1,650000,2016-11-07,-33.8610523118922,151.034672451687,1351.62586528711
"2/39 Karrabah Rd Auburn 2144",3,2,2,685000,2016-10-14,-33.8438658061642,151.032136003967,575.884112437092
"8/24-28 Norval Street Auburn 2144",3,3,2,708000,2016-09-12,-33.8599075115565,151.034442368445,1222.5618752164
"5/219 Auburn Road Auburn 2144",3,3,1,770000,2016-08-18,-33.8611436327273,151.030537072118,1369.35827160849
"2/42 Helena Street Auburn 2144",3,2,1,770000,2016-08-13,-33.8576023624547,151.032826840427,957.634491947842
"1/219 Auburn Road Auburn 2144",3,3,2,810000,2016-08-08,-33.8611436327273,151.030537072118,1369.35827160849
"3/219 Auburn Road Auburn 2144",3,3,2,778000,2016-07-12,-33.8611436327273,151.030537072118,1369.35827160849
"4/219 Auburn Road Auburn 2144",3,3,2,778000,2016-06-20,-33.8611436327273,151.030537072118,1369.35827160849
"10/17 Macquarie Rd Auburn 2144",2,1,1,450000,2016-06-17,-33.8472476526384,151.033707275537,208.86077581674
"2/219 Auburn Road Auburn 2144",3,3,2,778000,2016-06-14,-33.8611436327273,151.030537072118,1369.35827160849
"4/14 Kennington Oval Auburn 2144",3,2,2,608000,2016-05-25,-33.8727518561635,151.022900403954,2800.96373054896
"7/128 Auburn Rd Auburn 2144",3,1,2,645000,2016-04-05,-33.8585436082718,151.031620349284,1068.95576662384
"2/24 Norval St Auburn 2144",4,3,2,735000,2016-03-31,-33.8599075115565,151.034442368445,1222.5618752164
"3/53 Kirkham Road Auburn 2144",4,2,2,790000,2015-12-16,-33.87161552155,151.01782868198,2877.32788990104
"9/30-32 St Johns Road Auburn 2144",3,3,2,735000,2015-12-14,-33.8714475063008,151.020110990396,2764.38955490545
"2/42 Helena Street Auburn 2144",3,2,1,770000,2015-12-12,-33.8576023624547,151.032826840427,957.634491947842
"2/10 Hevington Rd Auburn 2144",3,2,1,730000,2015-11-17,-33.8585786865366,151.034586118085,1077.62760884278
"8/30-32 St John Road Auburn 2144",3,2,3,690000,2015-11-16,-33.8714475063008,151.020110990396,2764.38955490545
"6/24-28 Norval Street Auburn 2144",3,3,2,708000,2015-10-26,-33.8599075115565,151.034442368445,1222.5618752164
