"","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station.km.","distance_class"
"90","6/12 Glebe Street Parramatta 2150",3,1,1,600500,2014-05-12,-33.8205409812837,150.996941733638,0.818542670895595,"(0.75,1]"
"91","1/125 Victoria Road Parramatta 2150",2,1,1,462000,2014-05-06,-33.8087686401833,151.014957628686,1.33900832619512,"(1.25,1.5]"
"92","3 Benedict Court Parramatta 2150",3,2,1,620000,2014-04-30,-33.8317320793084,150.997584709431,1.72635094849161,"(1.5,1.75]"
"93","7/66-68 Marsden Street Parramatta 2150",4,2,2,645000,2014-04-16,-33.8218246278455,150.999058918561,0.730519223591541,"(0.5,0.75]"
"94","6/36-40 Morton Street Parramatta 2150",3,2,2,652000,2014-02-10,-33.8099719042936,151.0184537205,1.50021657217248,"(1.5,1.75]"
"95","15/9-11 New Zealand St Parramatta 2150",3,1,2,569000,2014-01-23,-33.8145811966688,151.014483883518,0.935386213640556,"(0.75,1]"
"96","1/14 Pemberton Street Parramatta 2150",4,2,2,560000,2013-12-14,-33.8134046289201,151.020165472766,1.47485503449574,"(1.25,1.5]"
"97","7/50-52 Hassall Street Parramatta 2150",2,1,2,590000,2013-12-11,-33.8180098141627,151.014093873563,0.842964693606428,"(0.75,1]"
"98","4/50 Morton Street Parramatta 2150",3,2,2,575000,2013-11-27,-33.8088703964878,151.018493366902,1.57491592989847,"(1.5,1.75]"
"99","3/59 Victoria Road Parramatta 2150",3,2,2,650000,2013-11-19,-33.8092433073601,151.012698454323,1.16266576159913,"(1,1.25]"
"100","2/15-17 Grandview Street Parramatta 2150",3,3,1,655000,2013-10-25,-33.8094915793322,151.018966525336,1.56952885118375,"(1.5,1.75]"
"101","3/11 King Street Parramatta 2150",2,1,1,545000,2013-10-19,-33.8199216005485,150.996924550737,0.794015061817508,"(0.75,1]"
"102","11/40 Fennell Street Parramatta 2150",3,2,3,615000,2013-10-15,-33.8054842333335,151.002902524081,1.35158447216217,"(1.25,1.5]"
"103","1/166 Railway Street Parramatta 2150",3,1,2,520000,2013-10-05,-33.8244045357334,150.993673378133,1.29924498161847,"(1.25,1.5]"
"104","6/4-6 Morton Street Parramatta 2150",4,2,2,680000,2013-09-14,-33.8127802609526,151.017281846617,1.25154994992101,"(1.25,1.5]"
"105","7/59 Victoria Road Parramatta 2150",3,2,2,540000,2013-09-10,-33.8092433073601,151.012698454323,1.16266576159913,"(1,1.25]"
"106","7/59 Victoria Road Parramatta 2150",3,2,2,540000,2013-09-10,-33.8092433073601,151.012698454323,1.16266576159913,"(1,1.25]"
"107","7/10 Murray Street Parramatta 2150",3,2,1,595000,2013-09-01,-33.8256298861586,150.98916693171,1.72137277776522,"(1.5,1.75]"
"108","8/77 Thomas Street Parramatta 2150",4,3,2,656000,2013-08-26,-33.8132162875557,151.020232527992,1.48734462646684,"(1.25,1.5]"
"109","7/1-9 King Street Parramatta 2150",3,1,1,518800,2013-08-24,-33.8197845564316,150.996571672613,0.819928081183316,"(0.75,1]"
"110","7/1 King Street Parramatta 2150",3,1,1,518800,2013-08-24,-33.8197845564316,150.996571672613,0.819928081183316,"(0.75,1]"
"111","7/1 King Street Parramatta 2150",3,1,1,518800,2013-08-24,-33.8197845564316,150.996571672613,0.819928081183316,"(0.75,1]"
"112","5/59 Victoria Road Parramatta 2150",3,2,2,650000,2013-08-21,-33.8092433073601,151.012698454323,1.16266576159913,"(1,1.25]"
"113","1/61 Victoria Road Parramatta 2150",3,2,2,650000,2013-08-21,-33.8092512701681,151.012843545067,1.1702364080877,"(1,1.25]"
"114","4/81-83 Thomas Street Parramatta 2150",3,2,2,6e+05,2013-08-17,-33.8132067321861,151.020732424697,1.53154188964627,"(1.5,1.75]"
"115","4/81 Thomas Street Parramatta 2150",3,2,2,6e+05,2013-08-17,-33.8132067321861,151.020732424697,1.53154188964627,"(1.5,1.75]"
"116","5/70 Marsden Street Parramatta 2150",3,2,2,585870,2013-07-18,-33.8216173014704,150.999108120333,0.712032585068507,"(0.5,0.75]"
"117","7/81 Thomas Street Parramatta 2150",3,2,2,585000,2013-07-18,-33.8132067321861,151.020732424697,1.53154188964627,"(1.5,1.75]"
"118","7/74 Pemberton Street Parramatta 2150",3,2,1,575000,2013-07-18,-33.8077736663668,151.021215809053,1.84979993109166,"(1.75,2]"
"119","5/70 Marsden Street Parramatta 2150",3,2,2,585870,2013-07-18,-33.8216173014704,150.999108120333,0.712032585068507,"(0.5,0.75]"
"120","7/74 PEMBERTON ST Parramatta 2150",3,2,1,575000,2013-07-18,-33.8077736663668,151.021215809053,1.84979993109166,"(1.75,2]"
"121","2/14 Pemberton Street Parramatta 2150",4,2,2,560000,2013-07-15,-33.8134046289201,151.020165472766,1.47485503449574,"(1.25,1.5]"
"122","10/74 Pemberton Street Parramatta 2150",3,2,1,560000,2013-07-03,-33.8076090038789,151.021302058837,1.86702600892556,"(1.75,2]"
"123","4/46 Pemberton Street Parramatta 2150",4,2,2,602000,2013-07-01,-33.8102813641589,151.02096678271,1.68123876683314,"(1.5,1.75]"
"124","4/59 Victoria Road Parramatta 2150",3,2,2,635000,2013-06-25,-33.8092433073601,151.012698454323,1.16266576159913,"(1,1.25]"
"125","4/59-61 Victoria Road Parramatta 2150",3,2,2,635000,2013-06-25,-33.8092433073601,151.012698454323,1.16266576159913,"(1,1.25]"
"126","4/59-61 Victoria Rd Parramatta 2150",3,2,2,635000,2013-06-25,-33.8092433073601,151.012698454323,1.16266576159913,"(1,1.25]"
"127","5/70 Marsden Street Parramatta 2150",3,2,2,585870,2013-06-21,-33.8216173014704,150.999108120333,0.712032585068507,"(0.5,0.75]"
"128","6/19 Grandview Street Parramatta 2150",3,2,2,625000,2013-06-18,-33.8092383201277,151.019041878646,1.59139629569033,"(1.5,1.75]"
"129","3/3 Teale Place Parramatta 2150",3,2,2,610000,2013-05-24,-33.8056807051439,151.016032523949,1.66504544042142,"(1.5,1.75]"
