"","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station.km.","distance_class"
"77","1/4 Denistone Road Eastwood 2122",3,1,2,655500,2011-04-09,-33.7920913769827,151.087620179675,0.565967532016128,"(0.5,0.75]"
"78","4/145 BALACLAVA ROAD Eastwood 2122",3,2,2,760000,2011-03-29,-33.7858229287834,151.087184823624,0.653680132541247,"(0.5,0.75]"
"79","4/44 Fourth Avenue Eastwood 2122",2,1,1,866000,2011-03-01,-33.7941542471732,151.088225101628,0.738495248905704,"(0.5,0.75]"
"80","3/11 Trelawney Street Eastwood 2122",2,2,1,585000,2011-03-01,-33.7939012813353,151.079963394944,0.487309867687424,"(0.25,0.5]"
"81","2 17 Gordon Street Eastwood 2122",2,1,1,550000,2011-01-01,-33.788443111716,151.089187260293,0.675447647215409,"(0.5,0.75]"
"82","2/17 Gordon Street Eastwood 2122",2,1,1,550000,2010-12-01,-33.788443111716,151.089187260293,0.675447647215409,"(0.5,0.75]"
"83","24 Fonti Street Eastwood 2122",4,1,3,765000,2010-11-26,-33.7866955268135,151.097516944212,1.47026638110489,"(1.25,1.5]"
"84","4/64 Rutledge Street Eastwood 2122",3,2,NA,755000,2010-11-01,-33.7951546273172,151.07295863846,1.02827763754142,"(1,1.25]"
"85","2/577 Blaxland Road Eastwood 2122",2,1,1,860000,2010-11-01,-33.7914411508438,151.08896681624,0.658040045184476,"(0.5,0.75]"
"86","1/40 Denistone Road Eastwood 2122",2,1,2,570000,2010-11-01,-33.7929053436,151.088496423833,0.679782902214134,"(0.5,0.75]"
"87","5/26-28 Brush Road Eastwood 2122",3,2,2,528000,2010-09-30,-33.7931614526516,151.069234810336,1.24435232521102,"(1,1.25]"
"88","8/18 Wentworth Road Eastwood 2122",3,1,2,680000,2010-09-01,-33.7974329543288,151.075062831433,1.06161078176494,"(1,1.25]"
"89","1/21 Alexandria Avenue Eastwood 2122",3,1,1,704000,2010-08-01,-33.7880468153339,151.090456112796,0.800131435223813,"(0.75,1]"
"90","2/17 Clanwilliam Street Eastwood 2122",3,1,1,650000,2010-07-28,-33.7956775742563,151.075983248221,0.856660091863453,"(0.75,1]"
"91","1/602-604 Blaxland Road Eastwood 2122",2,1,2,560000,2010-07-07,-33.7867915415144,151.08483571144,0.428716892595822,"(0.25,0.5]"
"92","2/112 Vimiera Road Eastwood 2122",3,2,1,599900,2010-05-01,-33.7794127006919,151.095794127833,1.72284792002489,"(1.5,1.75]"
