"","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station.km.","distance_class"
"67","4/45 Kirkham Road Auburn 2144",4,3,2,847500,2021-06-03,-33.8717008074148,151.018456737985,2.85806034941912,"(2.5,3]"
"68","2/35 Kirkham Avenue Auburn 2144",2,2,1,7e+05,2021-05-20,-33.8718144660219,151.019292497551,2.8341287165152,"(2.5,3]"
"69","9/13-15 Kirkham Road Auburn 2144",4,2,2,9e+05,2021-05-06,-33.8720846985802,151.021277164585,2.78533708198308,"(2.5,3]"
"70","1/69 MACQUARIE ROAD Auburn 2144",3,1,1,6e+05,2021-04-26,-33.8436909177544,151.036498868389,0.678230620062844,"(0.5,0.75]"
"71","1/18 Gibbons Street Auburn 2144",4,3,2,925000,2021-04-20,-33.8457433524755,151.032272042256,0.367147661765297,"(0.25,0.5]"
"72","1/35 Kirkham Avenue Auburn 2144",2,1,1,695000,2021-04-12,-33.8718144660219,151.019292497551,2.8341287165152,"(2.5,3]"
"73","3/21-23 Hargrave Road Auburn 2144",3,1,1,610000,2021-04-12,-33.8600562903378,151.032106751125,1.23296332852798,"(1,1.25]"
"74","3/219 Auburn Road Auburn 2144",3,3,2,8e+05,2021-03-31,-33.8611436327273,151.030537072118,1.36935827160849,"(1.25,1.5]"
"75","5/38 St Johns Road Auburn 2144",3,3,2,730000,2021-03-30,-33.8713482645673,151.019380675172,2.784051224968,"(2.5,3]"
"76","7/35-37 Elsham Road Auburn 2144",3,2,2,718000,2021-03-27,-33.8610523118922,151.034672451687,1.35162586528711,"(1.25,1.5]"
"77","11/273 Park road Auburn 2144",3,2,1,650000,2021-03-10,-33.8703318330787,151.025674562448,2.46679457924359,"(2.25,2.5]"
"78","2/45-47 Marion Street Auburn 2144",3,2,2,738000,2021-03-08,-33.856482749738,151.033953284395,0.838648007577693,"(0.75,1]"
"79","6/3-5 Louisa Street Auburn 2144",4,3,2,840000,2021-03-03,-33.8558867545127,151.035424727497,0.801373811281352,"(0.75,1]"
"80","4/35 Kirkham Avenue Auburn 2144",3,2,1,780000,2021-03-01,-33.8718144660219,151.019292497551,2.8341287165152,"(2.5,3]"
"81","6/35 Kirkham Road Auburn 2144",3,2,2,765000,2021-02-25,-33.8718144660219,151.019292497551,2.8341287165152,"(2.5,3]"
"82","3/57 Mary Steet Auburn 2144",2,1,1,520000,2021-02-23,-33.8505286229078,151.023119339264,0.920103597070674,"(0.75,1]"
"83","42/18 Cockthorpe Road Auburn 2144",4,2,3,798000,2021-02-18,-33.8606495614446,151.036288650258,1.33412357923258,"(1.25,1.5]"
"84","6/27 Louisa St Auburn 2144",3,2,2,712000,2021-02-16,-33.8572866999811,151.035094145236,0.944509581324489,"(0.75,1]"
"85","3/35 Kirkham Avenue Auburn 2144",3,2,1,750000,2021-02-12,-33.8718144660219,151.019292497551,2.8341287165152,"(2.5,3]"
"86","9/24-28 Norval Street Auburn 2144",3,2,2,680000,2021-02-08,-33.8599075115565,151.034442368445,1.2225618752164,"(1,1.25]"
"87","5 Kirkham Rd Auburn 2144",3,3,2,718000,2021-01-30,-33.8728033629585,151.021678071014,2.84559388157527,"(2.5,3]"
"88","40 Princeton Cct Auburn 2144",3,2,2,770000,2021-01-22,-33.8735488494269,151.017091828872,3.0989282093568,"(3,3.25]"
"89","4/35-37 Elsham Road Auburn 2144",2,2,1,657000,2020-12-02,-33.8610523118922,151.034672451687,1.35162586528711,"(1.25,1.5]"
"90","20/17-21 Kirkham Rd Auburn 2144",2,1,1,528000,2020-11-24,-33.8720158412457,151.020772993109,2.79662026797535,"(2.5,3]"
"91","4/29 St Johns Road Auburn 2144",3,2,2,620000,2020-11-16,-33.87105196429,151.022325824491,2.642265415854,"(2.5,3]"
"92","5/1-3 Kennington Oval Auburn 2144",3,2,1,680000,2020-11-02,-33.8719987421632,151.021853839523,2.75632197280563,"(2.5,3]"
"93","10/21-23 Hargrave Road Auburn 2144",3,1,1,630000,2020-10-30,-33.8600562903378,151.032106751125,1.23296332852798,"(1,1.25]"
"94","7/7-9 Helena Street Auburn 2144",3,2,1,730000,2020-10-30,-33.8573922281421,151.036245483456,0.984082754260867,"(0.75,1]"
"95","10/124-126 Auburn Road Auburn 2144",4,3,2,750000,2020-10-23,-33.8583249663274,151.031805840801,1.04296714260109,"(1,1.25]"
"96","17/17-21 Kirkham Rd Auburn 2144",3,2,2,7e+05,2020-10-21,-33.8720158412457,151.020772993109,2.79662026797535,"(2.5,3]"
"97","5/54 St John's road Auburn 2144",3,1,2,648000,2020-10-15,-33.8711478113528,151.017906466042,2.82835646122294,"(2.5,3]"
"98","1/3-5 louisa St Auburn 2144",4,3,2,895000,2020-09-18,-33.8558867545127,151.035424727497,0.801373811281352,"(0.75,1]"
"99","3/11 New Street Auburn 2144",3,1,2,625000,2020-07-17,-33.8652530283971,151.023540362261,2.00552180406639,"(2,2.25]"
"100","18/17-21 Kirkham Road Auburn 2144",2,1,1,560000,2020-06-26,-33.8720158412457,151.020772993109,2.79662026797535,"(2.5,3]"
"101","7/78-80 Helena St Auburn 2144",2,1,1,515000,2020-05-13,-33.8570823491817,151.029387075002,0.956541182770238,"(0.75,1]"
"102","9/17-21 Kirkham Rd Auburn 2144",3,3,2,650000,2020-05-08,-33.8720158412457,151.020772993109,2.79662026797535,"(2.5,3]"
"103","3/9A-11 Louisa Street Auburn 2144",3,2,1,630000,2020-05-06,-33.8563190930785,151.035322635917,0.844980192905433,"(0.75,1]"
"104","3/89 Harrow Road Auburn 2144",2,1,1,550000,2020-04-24,-33.8596412604021,151.029519173796,1.22511743781502,"(1,1.25]"
"105","1/75 Dartbrook Rd Auburn 2144",3,2,2,655000,2020-04-09,-33.8472284161706,151.039104047715,0.606537590758241,"(0.5,0.75]"
"106","60 Princeton CCT Auburn 2144",3,3,4,770000,2020-04-04,-33.8740449323664,151.018385910903,3.09401447514813,"(3,3.25]"
"107","1/11 New Street Auburn 2144",3,1,2,670000,2020-03-16,-33.8652530283971,151.023540362261,2.00552180406639,"(2,2.25]"
"108","14/17-21 Kirkham Road Auburn 2144",3,2,1,685000,2020-03-13,-33.8720158412457,151.020772993109,2.79662026797535,"(2.5,3]"
"109","26/18 Cockthorpe Road Auburn 2144",5,3,2,840000,2020-03-13,-33.8606006530396,151.035877769364,1.32039350479118,"(1.25,1.5]"
"110","4/9A-11 Louisa St Auburn 2144",3,1,1,638000,2020-03-11,-33.8563190930785,151.035322635917,0.844980192905433,"(0.75,1]"
"111","1/33 Macquarie Road Auburn 2144",2,1,1,495000,2020-03-06,-33.8456274726641,151.034940672589,0.420168582028118,"(0.25,0.5]"
"112","1/45 Edgar Street Auburn 2144",3,2,2,615800,2020-02-22,-33.8541757566175,151.023590569861,1.03570122668688,"(1,1.25]"
"113","1/24-28 Norval Street Auburn 2144",4,3,2,770000,2020-02-04,-33.8599075115565,151.034442368445,1.2225618752164,"(1,1.25]"
"114","3/24-28 Norval Street Auburn 2144",4,3,2,708000,2019-12-17,-33.8599075115565,151.034442368445,1.2225618752164,"(1,1.25]"
"115","11/181 Auburn Rd Auburn 2144",2,1,2,580000,2019-12-09,-33.858219647714,151.030773944701,1.04497692582532,"(1,1.25]"
"116","2/4 Simpson Street Auburn 2144",3,1,2,625000,2019-12-09,-33.847183363441,151.040098728165,0.695587728615992,"(0.5,0.75]"
"117","1/273-275 Park Rd Auburn 2144",3,2,2,635000,2019-11-29,-33.8703318330787,151.025674562448,2.46679457924359,"(2.25,2.5]"
"118","2/57 Harrow Rd Auburn 2144",2,1,1,6e+05,2019-11-15,-33.8557431306018,151.030135746594,0.792949578737567,"(0.75,1]"
"119","4/1-3 KENNINGTON OVAL Auburn 2144",3,1,2,665000,2019-11-12,-33.8719987421632,151.021853839523,2.75632197280563,"(2.5,3]"
"120","2/23 Elsham Rd Auburn 2144",3,1,1,610000,2019-11-05,-33.8604346913567,151.034795749483,1.28491186134776,"(1.25,1.5]"
"121","2/167 Rawson Street Auburn 2144",4,1,1,650000,2019-11-04,-33.846597300771,151.030862289961,0.327155143369656,"(0.25,0.5]"
"122","Unit 7/320 Chisholm Rd Auburn 2144",4,2,2,756000,2019-11-04,-33.871464982569,151.017474378933,2.87875897641245,"(2.5,3]"
"123","17 Coachwood Street Auburn 2144",3,2,2,738000,2019-10-14,-33.8736459537752,151.017618799125,3.0858643370845,"(3,3.25]"
"124","6/35 Elsham Road Auburn 2144",2,2,1,585000,2019-09-11,-33.8610523118922,151.034672451687,1.35162586528711,"(1.25,1.5]"
"125","2/11-13 Raglan road Auburn 2144",3,2,2,650000,2019-08-28,-33.8734114281244,151.0226279921,2.87858254704074,"(2.5,3]"
"126","2/11-13 Raglan Road Auburn 2144",3,2,2,650000,2019-08-27,-33.8734114281244,151.0226279921,2.87858254704074,"(2.5,3]"
