"","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station.km.","distance_class"
"127","1/126 - 128 John Street Merrylands 2160",3,2,2,690000,2015-10-09,-33.8389196451003,151.000933363568,0.82387377140701,"(0.75,1]"
"128","41/100 Kenyons Road Merrylands 2160",3,2,2,720000,2015-09-14,-33.8373087690386,150.96992979337,2.09920571314809,"(2,2.25]"
"129","1/6-8 Addlestone Road Merrylands 2160",3,2,2,630000,2015-08-29,-33.836850614211,150.98742341203,0.482562884065052,"(0.25,0.5]"
"130","4/35 Clarence Street Merrylands 2160",2,2,1,585000,2015-08-21,-33.8310719625238,150.983258360523,1.04156817999732,"(1,1.25]"
"131","6/158-160 Railway Terrace Merrylands 2160",3,2,2,628000,2015-08-07,-33.843564392926,150.991828353606,0.811809869752728,"(0.75,1]"
"132","1/35 Lansdowne Street Merrylands 2160",3,2,2,950000,2015-08-01,-33.8455509458881,150.994327082762,1.04211792315145,"(1,1.25]"
"133","3/21-23 Yeend Street Merrylands 2160",2,1,1,575888,2015-07-30,-33.8258688123086,150.987256025424,1.26197078028883,"(1.25,1.5]"
"134","1/49 Edna Avenue Merrylands 2160",2,1,1,561777,2015-07-29,-33.8411161228275,150.971671049936,2.00804517468791,"(2,2.25]"
"135","8/7-9 Ellis Street Merrylands 2160",3,2,1,620000,2015-07-21,-33.8281619333793,150.976974950627,1.70536911017845,"(1.5,1.75]"
"136","3/8 Carhullen Street Merrylands 2160",3,3,1,675000,2015-07-18,-33.835740724502,150.997891570906,0.493234467992829,"(0.25,0.5]"
"137","3/20-22 Ellis Street Merrylands 2160",3,2,1,630000,2015-07-15,-33.8267118222205,150.977532933921,1.75511189703345,"(1.75,2]"
"138","5/7-9 Ellis Street Merrylands 2160",3,2,2,619000,2015-07-08,-33.8281619333793,150.976974950627,1.70536911017845,"(1.5,1.75]"
"139","2/26 Military Road Merrylands 2160",3,1,1,517000,2015-06-24,-33.8398692728206,150.989751569456,0.476694668277573,"(0.25,0.5]"
"140","11/17 Willara Avenue Merrylands 2160",3,1,2,590650,2015-05-27,-33.8282647793313,150.981310992959,1.37470031043666,"(1.25,1.5]"
"141","1/85 Chetwynd Road Merrylands 2160",3,2,1,640000,2015-05-20,-33.8429325231551,150.979909287291,1.38636778294124,"(1.25,1.5]"
"142","2/8 Carhullen Street Merrylands 2160",3,3,1,640000,2015-04-29,-33.835740724502,150.997891570906,0.493234467992829,"(0.25,0.5]"
"143","17/59-61 Neil Street Merrylands 2160",2,1,1,430000,2015-04-20,-33.8325814175571,150.988503001159,0.561136738245937,"(0.5,0.75]"
"144","2/35-37 Clarence Street Merrylands 2160",3,2,1,585000,2015-04-17,-33.8310719625238,150.983258360523,1.04156817999732,"(1,1.25]"
"145","7/158 Railway Terrace Merrylands 2160",3,2,1,518000,2015-04-14,-33.843564392926,150.991828353606,0.811809869752728,"(0.75,1]"
"146","1/1 Willara Avenue Merrylands 2160",3,1,1,615000,2015-03-06,-33.828633499252,150.982912187922,1.23727663837969,"(1,1.25]"
"147","8/21 St. Ann Street Merrylands 2160",2,2,1,524500,2015-03-04,-33.8397168479113,150.987621308764,0.597156095735195,"(0.5,0.75]"
"148","3/17-21 Paton Street Merrylands 2160",2,1,1,408000,2015-03-04,-33.8351409155108,150.969513128963,2.13864972192027,"(2,2.25]"
"149","11/100 Kenyons Road Merrylands 2160",3,2,2,560000,2015-02-18,-33.8374256127688,150.96939653669,2.14916193628335,"(2,2.25]"
"150","5/20-22 Ellis Street Merrylands 2160",3,2,1,605000,2015-01-19,-33.8267118222205,150.977532933921,1.75511189703345,"(1.75,2]"
"151","4/9-11 Kimberley St Merrylands 2160",2,2,1,483000,2014-12-12,-33.8478275965191,151.000340008643,1.46930428610162,"(1.25,1.5]"
"152","1/158 Railway Terrace Merrylands 2160",3,2,2,510000,2014-12-05,-33.843564392926,150.991828353606,0.811809869752728,"(0.75,1]"
"153","2/59 Lavinia Street Merrylands 2160",3,2,1,445000,2014-11-17,-33.8484638667891,151.003853953911,1.70769437954345,"(1.5,1.75]"
"154","20 Leigh Street Merrylands 2160",4,2,1,670000,2014-10-30,-33.8423770125221,150.976042128623,1.67377755171607,"(1.5,1.75]"
"155","7/352-356 Merrylands Road Merrylands 2160",3,2,1,522000,2014-10-13,-33.8348942361003,150.980188907581,1.15822784779622,"(1,1.25]"
"156","10/102-106 Lackey Street Merrylands 2160",3,2,2,519900,2014-10-03,-33.8466295291887,151.001678430942,1.42365607289637,"(1.25,1.5]"
"157","3/102-104 Lackey Street Merrylands 2160",3,2,2,517111,2014-09-26,-33.8464343984828,151.001734338236,1.4092621412319,"(1.25,1.5]"
"158","10A Rupert Street Merrylands 2160",4,3,1,680000,2014-09-09,-33.8342611477046,150.974837004101,1.65809133578831,"(1.5,1.75]"
"159","2/11-11A Ellis Street Merrylands 2160",3,2,1,543000,2014-09-03,-33.8279302575756,150.977246691928,1.69814650832227,"(1.5,1.75]"
"160","3/11-13 Torrens Street Merrylands 2160",3,1,1,450000,2014-08-30,-33.8361963228491,150.969605413717,2.12623888461857,"(2,2.25]"
"161","3/10-12 Wright Street Merrylands 2160",2,2,1,525000,2014-08-28,-33.8277686963918,150.975646418974,1.8329248704492,"(1.75,2]"
"162","32 Rita Street Merrylands 2160",3,2,2,615000,2014-08-27,-33.8217851490815,150.983994543079,1.80111702640133,"(1.75,2]"
"163","4/35 Lansdowne Street Merrylands 2160",2,2,1,470000,2014-07-08,-33.8455509458881,150.994327082762,1.04211792315145,"(1,1.25]"
